name	VT	intercept	coef_X2	MSE	SigmaSqr	LogLike	AIC	FPE	CoV
Left-VentralDC	1.4751498263586482	-29.248575852408283	0.05043492831249036	147049.72053611168	147048.88272498202	-116.89121918199872	239.78243836399744	2646894.9696500106	0.06885472381980115
Left-vessel	1.7456217374031318	-42.86071074716789	0.04072778325353546	1605437.1251392334	1605436.3822710493	-136.01426910516977	278.02853821033955	28897868.252506204	0.19612416254003226
Left-choroid-plexus	1.3382004731186576	-44.71127774017402	0.029929819516570345	128701.02986110168	128701.01547355215	-115.82499558413204	237.64999116826408	2316618.53749983	0.0669614974305488
Right-Lateral-Ventricle	1.080545670377772	-51.579491184166756	0.020949133959457605	32572.033975113478	32572.028786061284	-104.83269113727494	215.66538227454987	586296.6115520427	0.04255122764180642
Right-Inf-Lat-Vent	1.1462846521516876	-36.55447887221707	0.031358254515369714	288150.5969369375	288150.52525506605	-122.27292451036084	250.54584902072168	5186710.7448648745	0.1223894335133384
Right-Cerebellum-White-Matter	1.5630367695098057	-34.31695038948431	0.04554707664200734	30246.052519135952	30245.851315248325	-104.2399775568398	214.4799551136796	544428.945344447	0.028911822073790894
Right-Cerebellum-Cortex	1.3717770465573558	-28.320217394914998	0.04843808320495674	87664.02156985641	87664.00986479037	-112.75315119639005	231.5063023927801	1577952.3882574155	0.06406704979006352
Right-Thalamus	1.527278634181517	-24.725362471994696	0.06176971665881123	133582.45958614207	133580.0112637277	-116.12279213164918	238.24558426329835	2404484.2725505573	0.0677989732635633
Right-Caudate	1.4659854626450743	-43.4419021586135	0.033745885649586	92378.8117324855	92378.68680292195	-113.17223854755598	232.34447709511196	1662818.6111847388	0.058221646708640266
Right-Putamen	1.7330195212077297	-36.39477065226003	0.047617267265293604	109679.13452086042	109679.03265109831	-114.54553098853854	235.0910619770771	1974224.4213754875	0.054884724865561334
Right-Pallidum	1.575496393092812	-25.382663122737252	0.06206978304343155	225561.52148790937	225550.167871106	-120.31375199020218	246.62750398040436	4060107.386782368	0.08209670863711205
Right-Hippocampus	1.3777791279872478	-40.90708181505078	0.03368069944995018	126617.87592486458	126617.87168346372	-115.69444832787993	237.38889665575985	2279121.7666475624	0.06971624699026915
